osmid,osm_type,name,transport_mode,lat,lon,operator,network,ref,public_transport,railway,highway,amenity,tram,bus,route,source
12184855665,node,Consulat de Russie,bus,33.5779368,-7.6293808,,Casabus,1178;1179,platform,,bus_stop,,,yes,,
12184855672,node,Ibn Chahid,bus,33.5787277,-7.6331288,Alsa Al Baida,Casabus,1180,platform,,bus_stop,,,yes,,
12184855674,node,Résidence El Hossaini,bus,33.5774607,-7.6381917,,Casabus,1181,platform,,bus_stop,,,yes,,
12184855676,node,Carrefour,bus,33.5737578,-7.6446216,,Casabus,3145;1176,platform,,bus_stop,,,yes,,
12184855684,node,Mosquée Afghanistan,bus,33.5725861,-7.6734949,Alsa Al Baida,Casabus,3111;3102,platform,,bus_stop,,,yes,,
12184855686,node,Café Bouchiki,bus,33.5714862,-7.6758219,Alsa Al Baida,Casabus,3112,platform,,bus_stop,,,yes,,
12184855687,node,ISTA Hay Hassani,bus,33.567701,-7.6841544,Alsa Al Baida,Casabus,3199,platform,,bus_stop,,,yes,,
12185040404,node,Gare Routière Ouled Ziane,bus,33.5732648,-7.5875971,,,,platform,,bus_stop,,,yes,,
12186265017,node,Tanger Ville,train,35.7700446,-5.7853528,ONCF,,,stop_position,station,,,,,,
12186265018,node,Tanger Ville,train,35.7700216,-5.7853824,ONCF,,,stop_position,station,,,,,,
12186265019,node,Kénitra,train,34.2515471,-6.5820271,,,,stop_position,station,,,,,,
12186575491,node,Café De Mexico,bus,33.5823963,-7.641387,,Casabus,,platform,,bus_stop,,,yes,,
12186575492,node,Café De Mexico,bus,33.5825419,-7.6416033,,Casabus,,platform,,bus_stop,,,yes,,
12186575494,node,Complexe Mohammed V,bus,33.5812744,-7.645858,Alsa Al Baida,Casabus,1140,platform,,bus_stop,,,yes,,
12186620301,node,Café Kairaouan,bus,33.5604916,-7.675335,,Casabus,372;367,platform,,bus_stop,,,yes,,
12186620320,node,Résidence Bassatine El Oulfa,bus,33.5479146,-7.7017297,,Casabus,,platform,,bus_stop,,,yes,,
12186620321,node,Résidence Bassatine El Oulfa,bus,33.548055,-7.7019648,,Casabus,,platform,,bus_stop,,,yes,,
12186620322,node,Pharmacie Route Rahma,bus,33.5447805,-7.7071456,,Casabus,,platform,,bus_stop,,,yes,,
12186620323,node,Pharmacie Route Rahma,bus,33.5450406,-7.707276,,Casabus,,platform,,bus_stop,,,yes,,
12186620324,node,Résidence Bassatine El Oulfa 2,bus,33.5494686,-7.6976338,,Casabus,,platform,,bus_stop,,,yes,,
12186620325,node,Résidence Bassatine El Oulfa 2,bus,33.5496152,-7.6974467,,Casabus,,platform,,bus_stop,,,yes,,
12186620326,node,"Boulevard Haj Fateh, 37",bus,33.5385939,-7.6800713,,Casabus,,platform,,bus_stop,,,yes,,
12186620327,node,"Boulevard Haj Fateh, 37",bus,33.5388521,-7.6800081,,Casabus,,platform,,bus_stop,,,yes,,
12186620328,node,Direction Tch. Re,bus,33.5427858,-7.6927544,,Casabus,,platform,,bus_stop,,,yes,,
12186620329,node,Direction Tch. Re,bus,33.5427892,-7.6928555,,Casabus,,platform,,bus_stop,,,yes,,
12186620332,node,Stendhal - Ghandi,bus,33.5661029,-7.6370834,,Casabus,,platform,,bus_stop,,,yes,,
12186620333,node,Stendhal - Ghandi,bus,33.566115,-7.6373007,,Casabus,,platform,,bus_stop,,,yes,,
12186620336,node,Derb Ghalef,bus,33.5699704,-7.6318585,,Casabus,,platform,,bus_stop,,,yes,,
12186620337,node,Derb Ghalef,bus,33.5701564,-7.6317685,,Casabus,,platform,,bus_stop,,,yes,,
12186620342,node,Moulay Idriss I - Gendarmerie,bus,33.5721379,-7.6175917,Alsa Al Baida,Casabus,,platform,,bus_stop,,,yes,,
12186620343,node,Lycée Lahlou,bus,33.5721882,-7.622577,Alsa Al Baida,Casabus,1154;1151,platform,,bus_stop,,,yes,,
12186620345,node,Visabel,bus,33.5697036,-7.6288861,Alsa Al Baida,Casabus,,platform,,bus_stop,,,yes,,
12186620346,node,Visabel,bus,33.5694793,-7.6290282,Alsa Al Baida,Casabus,,platform,,bus_stop,,,yes,,
12187133171,node,C.A. Tensift,bus,33.5526405,-7.6846766,,Casabus,3155;3152,platform,,bus_stop,,,yes,,
12187133172,node,École Elbennay,bus,33.5538136,-7.6811693,Alsa Al Baida,Casabus,3151;3156,platform,,bus_stop,,,yes,,
12187329051,node,Bâti Glob,bus,33.5330762,-7.7678387,Alsa Al Baida,Casabus,,platform,,bus_stop,,,yes,,
12187329052,node,Bâti Glob,bus,33.533272,-7.7680588,Alsa Al Baida,Casabus,,platform,,bus_stop,,,yes,,
12187329092,node,Pharmacie Ouled Daoud,bus,33.4935126,-7.8849634,Alsa Al Baida,Casabus,,platform,,bus_stop,,,yes,,
