commune_norm;commune_x;taux_jeunesse;taux_vieillesse;INIV;nb_atm;IEDU;Indice_accessibilite_x;Indice_transport;indice_densite_routiere;Indice_POI;densite_norm;Indice_POI_norm;indice_densite_routiere_norm;indice_transport_norm_x;indice_transport_norm_y;commune_key;commune_y;latitude;longitude;densite
anergui;Anergui;35.2;10.1;0.0289;;0.3375;0.23;0.0;0.33;0.33;0.006983799066829;0.7162433155080213;0.0147058823529411;0.3699866310160428;0.0123663101604278;anergui;anergui;32.0750637;-5.9647316;3975.0
anfa;Anfa;16.4;24.8;0.9868;11.0;0.7596;41.43;17.79;68.76;8.56;0.1163608096412386;0.9772727272727272;0.9926470588235294;0.9742647058823528;0.9886363636363636;anfa;anfa;33.5945144;-7.6200284;66026.0
anfeg;Anfeg;22.1;28.9;0.6536;;0.3571;1.78;0.0;3.52;0.11;0.0066806154627163;0.4699197860962567;0.3763368983957219;0.3699866310160428;0.3602941176470588;anfeg;anfeg;29.442485;-9.236247;3803.0
anjra;Anjra;29.0;11.1;0.785;;0.5392;1.43;0.72;2.36;0.15;0.0303201231066448;0.5387700534759359;0.2162433155080214;0.8462566844919787;0.2663770053475935;anjra;anjra;35.6910465;-5.5288419;17214.0
annakhil;Annakhil;26.2;12.7;0.9372;;0.7185;11.33;12.74;13.64;3.42;0.1259533978597352;0.94451871657754;0.8649732620320856;0.9635695187165776;0.913770053475936;annakhil;annakhil;31.6509445;-7.9592152;71468.0
anougal;Anougal;29.0;15.8;0.47;;0.4326;1.54;0.0;3.07;0.0;0.0070067141066747;0.0875668449197861;0.3125;0.3699866310160428;0.2927807486631016;anougal;anougal;31.119701;-8.2733623;3988.0
anzi;Anzi;21.5;25.3;0.6934;;0.4602;2.45;0.0;4.82;0.18;0.0107101370848191;0.5925802139037433;0.5391042780748663;0.3699866310160428;0.5130347593582888;anzi;anzi;29.6752514;-9.3488986;6089.0
anzou;Anzou;30.6;12.1;0.8418;;0.6006;2.99;0.0;5.93;0.11;0.0291567441606309;0.4699197860962567;0.6286764705882353;0.3699866310160428;0.5969251336898396;anzou;anzou;31.6752481;-7.2636334;16554.0
aoufous;Aoufous;28.4;18.2;0.8962;;0.7926;0.27;0.0;0.32;0.55;0.0156403960423963;0.7984625668449198;0.0133689839572192;0.3699866310160428;0.0160427807486631;aoufous;aoufous;31.687792;-4.178487;8886.0
aouguenz;Aouguenz;14.4;35.9;0.5161;;0.3534;3.63;0.0;7.15;0.26;0.0050289698984511;0.660427807486631;0.7012032085561497;0.3699866310160428;0.6758021390374331;aouguenz;aouguenz;29.8202708;-9.1850595;2866.0
aouintlahna;Aouint Lahna;23.9;12.0;0.9042;;0.359;1.14;0.0;2.22;0.15;0.0044296534717166;0.5387700534759359;0.2018716577540107;0.3699866310160428;0.1838235294117647;aouint lahna;aouint lahna;28.539187;-9.7185182;2526.0
aouintyghomane;Aouint Yghomane;27.7;11.7;0.7758;;0.5562;0.95;0.0;1.87;0.07;0.005912080280198;0.3776737967914438;0.1504010695187165;0.3699866310160428;0.1353609625668449;aouint yghomane;aouint yghomane;28.4700056;-10.5760844;3367.0
aoulouz;Aoulouz;28.1;13.2;0.8362;;0.5591;1.42;0.0;2.65;0.48;0.0344060509806755;0.777072192513369;0.2600267379679144;0.3699866310160428;0.2647058823529412;aoulouz;aoulouz;30.673307;-8.180695;19532.0
aourir;Aourir;25.3;11.4;0.9723;4.0;0.7321;5.06;7.21;4.46;3.34;0.080847785966477;0.9431818181818182;0.4919786096256685;0.9354946524064172;0.7780748663101604;aourir;aourir;30.498085;-9.671097;45879.0
aousserd;Aousserd;12.1;14.3;0.7689;;0.3745;;;;;0.0004583007969145;0.0;0.0;0.0;0.0;aousserd;aousserd;22.0724145;-14.4452432;273.0
